ID:Integer:set:pk=true;DESCRIPCION:String:set:size=100
1;"A1"
2;"A"
3;"B"
4;"BTP"
5;"EB"
6;"C1"
7;"C"
8;"D1"
9;"D"
10;"EC1"
11;"EC"
12;"ED1"
13;"ED"
14;"LCC"
15;"LCM"
16;"LVA"
17;"A3"
18;"B1"
19;"B2"
20;"BT"
21;"C1"
22;"C2"
23;"D"
24;"SeEB1"
25;"EB2"
26;"EC1"
27;"EC2"
28;"ED"
77;"desconoce"
29;"AM"
30;"A2"
