ID:Integer:set:pk=true;DESCRIPCION:String:set:size=100
0;"Animal no identificado"
1;"Ave"
2;"Cabra montés"
3;"Ciervo"
4;"Conejo"
5;"Corzo"
6;"Gamo"
7;"Gato montés"
8;"Jabalí"
9;"Liebre"
10;"Lince ibérico"
11;"Lobo"
12;"Muflón"
13;"Nutria"
14;"Oso pardo"
15;"Rebeco"
16;"Tejón"
17;"Zorro"
18;"Otro animal"
19;"Ave"
20;"Canino"
21;"Caprino"
22;"Equino"
23;"Felino"
24;"Ovino"
25;"Porcino"
26;"Vacuno"
27;"Otro animal"
