ID:Integer:set:pk=true; DESCRIPCION:String:set:size=100
1;"Inexistente"
2;"Menor de 1,50 m"
3;"De 1,50 m a 2,49 m"
4;"De 2,50 en adelante"
5;"Se desconoce"
