ID:Integer:set:pk=true; DESCRIPCION:String:set:size=100
1;"Nivel blanco"
2;"Nivel verde"
3;"Nivel amarillo"
4;"Nivel rojo"
5;"Nivel negro"
6;"Se desconoce"
